4	3.17E-01	4	3.18E-01	4	3.22E-01	4	3.40E-01										
4.0044	3.17E-01	4.0026	3.18E-01	4.0014	3.22E-01	4.013	3.41E-01										
4.0056	3.18E-01	4.008	3.19E-01	4.0146	3.23E-01	4.0436	3.45E-01										
4.0068	3.18E-01	4.0148	3.19E-01	4.025	3.24E-01	4.0632	3.48E-01										
4.0114	3.18E-01	4.0162	3.19E-01	4.029	3.25E-01	4.0872	3.52E-01										
4.017	3.18E-01	4.0174	3.19E-01	4.0346	3.25E-01	4.1252	3.63E-01										
4.017	3.18E-01	4.0242	3.20E-01	4.0436	3.26E-01	4.131	3.65E-01										
4.017	3.18E-01	4.0314	3.21E-01	4.0494	3.27E-01	4.1552	3.74E-01										
4.0226	3.19E-01	4.0324	3.21E-01	4.0582	3.28E-01	4.1754	3.82E-01										
4.027	3.19E-01	4.0338	3.21E-01	4.0718	3.31E-01	4.179	3.84E-01										
4.0284	3.19E-01	4.0404	3.22E-01	4.0726	3.31E-01	4.2192	4.04E-01										
4.0304	3.19E-01	4.0448	3.22E-01	4.0742	3.31E-01	4.2272	4.08E-01										
4.034	3.20E-01	4.0486	3.23E-01	4.0872	3.34E-01	4.264	4.29E-01										
4.0366	3.20E-01	4.0548	3.24E-01	4.0932	3.36E-01	4.2708	4.33E-01										
4.0396	3.20E-01	4.0566	3.24E-01	4.1018	3.38E-01	4.2796	4.38E-01										
4.0446	3.21E-01	4.0578	3.24E-01	4.1128	3.41E-01	4.302	4.52E-01										
4.0454	3.21E-01	4.0648	3.26E-01	4.1162	3.43E-01	4.3162	4.61E-01										
4.0458	3.21E-01	4.0702	3.27E-01	4.1266	3.46E-01	4.3262	4.68E-01										
4.051	3.22E-01	4.0728	3.27E-01	4.1308	3.47E-01	4.3372	4.75E-01										
4.0548	3.23E-01	4.0784	3.28E-01	4.1322	3.47E-01	4.3496	4.83E-01										
4.0566	3.23E-01	4.081	3.29E-01	4.1452	3.52E-01	4.3708	4.98E-01										
4.0598	3.24E-01	4.0822	3.29E-01	4.1502	3.54E-01	4.3936	5.12E-01										
4.0624	3.24E-01	4.089	3.31E-01	4.1598	3.58E-01	4.407	5.21E-01										
4.0636	3.24E-01	4.0938	3.32E-01	4.1674	3.61E-01	4.414	5.25E-01										
4.068	3.25E-01	4.0972	3.33E-01	4.1742	3.64E-01	4.4478	5.47E-01										
4.0722	3.26E-01	4.105	3.35E-01	4.184	3.69E-01	4.4564	5.52E-01										
4.0736	3.26E-01	4.1052	3.35E-01	4.1888	3.71E-01	4.459	5.54E-01										
4.0766	3.27E-01	4.106	3.35E-01	4.2004	3.77E-01	4.503	5.81E-01										
4.0794	3.28E-01	4.1134	3.37E-01	4.2034	3.78E-01	4.5174	5.89E-01										
4.0806	3.28E-01	4.116	3.38E-01	4.2162	3.85E-01	4.5524	6.07E-01										
4.085	3.29E-01	4.1214	3.40E-01	4.2178	3.86E-01	4.5746	6.18E-01										
4.0888	3.30E-01	4.1264	3.42E-01	4.2322	3.94E-01	4.601	6.31E-01										
4.0906	3.30E-01	4.1296	3.43E-01	4.2324	3.94E-01	4.6298	6.43E-01										
4.095	3.31E-01	4.1368	3.46E-01	4.2498	4.04E-01	4.6496	6.51E-01										
4.0964	3.32E-01	4.1376	3.46E-01	4.2498	4.04E-01	4.685	6.64E-01										
4.0968	3.32E-01	4.141	3.47E-01	4.25	4.04E-01	4.7028	6.71E-01										
4.102	3.33E-01	4.1458	3.49E-01	4.2646	4.12E-01	4.7432	6.83E-01										
4.1046	3.34E-01	4.147	3.49E-01	4.2732	4.18E-01	4.7568	6.87E-01										
4.1076	3.35E-01	4.1538	3.52E-01	4.2762	4.20E-01	4.797	6.97E-01										
4.1124	3.36E-01	4.1568	3.53E-01	4.2804	4.22E-01	4.8096	7.00E-01										
4.1134	3.37E-01	4.162	3.55E-01	4.2882	4.27E-01	4.8512	7.07E-01										
4.1164	3.38E-01	4.1664	3.57E-01	4.2944	4.31E-01	4.8652	7.09E-01										
4.119	3.38E-01	4.17	3.59E-01	4.2998	4.35E-01	4.9066	7.14E-01										
4.1198	3.39E-01	4.1758	3.61E-01	4.3056	4.39E-01	4.9216	7.16E-01										
4.1246	3.40E-01	4.1782	3.63E-01	4.3116	4.42E-01	4.9634	7.18E-01										
4.1272	3.41E-01	4.185	3.66E-01	4.316	4.46E-01	4.9768	7.19E-01										
4.1304	3.42E-01	4.1862	3.66E-01	4.3214	4.50E-01	5.0226	7.19E-01										
4.1344	3.44E-01	4.1942	3.70E-01	4.3304	4.56E-01	5.0346	7.18E-01										
4.136	3.44E-01	4.1942	3.70E-01	4.3326	4.57E-01	5.0782	7.16E-01										
4.1416	3.46E-01	4.1954	3.71E-01	4.3384	4.61E-01	5.0912	7.14E-01										
4.1416	3.46E-01	4.2024	3.74E-01	4.3448	4.65E-01	5.1348	7.09E-01										
4.142	3.46E-01	4.2032	3.74E-01	4.348	4.67E-01	5.1462	7.07E-01										
4.1474	3.48E-01	4.2104	3.78E-01	4.3578	4.74E-01	5.1908	6.99E-01										
4.1486	3.49E-01	4.2118	3.79E-01	4.3686	4.82E-01	5.203	6.96E-01										
4.153	3.51E-01	4.2184	3.82E-01	4.3712	4.84E-01	5.248	6.85E-01										
4.1554	3.52E-01	4.2204	3.84E-01	4.3762	4.87E-01	5.2596	6.81E-01										
4.1586	3.53E-01	4.2262	3.87E-01	4.3848	4.92E-01	5.3036	6.67E-01										
4.1622	3.54E-01	4.229	3.88E-01	4.3892	4.95E-01	5.3172	6.63E-01										
