0.2	6.50E-03	6.48E-03	6.82E-03	7.63E-03	0.016
2	8.38E-02	7.89E-02	7.54E-02	7.55E-02	0.16
4	1.69E-01	1.65E-01	1.55E-01	1.51E-01	0.32
8	3.16E-01	3.18E-01	3.14E-01	3.03E-01	0.64
20	6.69E-01	7.41E-01	7.57E-01	7.60E-01	1.6
